Facility Name,Sender ID
SHEIKH KHALIFA HOSPITAL MASFOUT,MOH-F-0060019
RASHID CENTER FOR DIABETES AND RESEARCH,MOH-F-0060020
SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL,MOH-F-0060021
SHEIKH KHALIFA HOSPITAL IN AJMAN,MOH-F-0060022
SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL PHARMACY,MOH-F-5000752
RASHID CENTER FOR DIABETES AND RESEARCH PHARMACY,MOH-F-5000753
SHEIKH KHALIFA HOSPITAL PHARMACY - AJMAN,MOH-F-5000754
SHEIKH KHALIFA HOSPITAL MASFOUT PHARMACY,MOH-F-5000755
SHEIKH KHALIFA SPECIALITY HOSPITAL RAK,MOH5168
SHEIKH KHALIFA SPECIALITY HOSPITAL RAK - PHARMACY,MOH-F-5000547
SHEIKH KHALIFA GENERAL HOSPITAL - UAQ,MOH-F-1000342
SHEIKH KHALIFA GENERAL HOSPITAL UAQ - PHARMACY,MOH-F-5000546
MENA LABS MEDICAL LABORATORY LLC,MOH-F-1000302
Mena Labs Medical Laboratory .LLC,6310
AL SALAMA HOSPITAL,MF131
AL SALAMA ONE DAY SURGERY CENTER,MF2398
AL SALAMA MEDICAL CENTER,MF93
NATIONAL REFERENCE LABORATORY LLC - Abudhabi,MF2342
NATIONAL REFERENCE LABORATORY LLC - Dubai,DHA-F-0047761
Sheikh Khalifa General Hospital Ajman,7152
Sheikh Khalifa Women and Children Ajman,7153
SKGHMASFOUT,7155
Rashid Center for Diabetes and Research,7156
Sheikh Khalifa General Hospital Ajman Pharmacy,1610
Sheikh Khalifa Women and Children Ajman Pharmacy,1612
SKH Hospital - Masfout Pharmacy,1611
Rashid Center for Diabetes and Research Pharmacy,1613
Sheikh Khalifa Speciality Hospital,5168
Sheikh Khalifa Specialty Hospital - Pharmacy,1818
Sheikh Khalifa General Hospital - UAQ,5401
Sheikh Khalifa General Hospital - UAQ Ph,2054
